MeetingID,Date,Track,DayType,Club,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake_1,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,320014,3,4,Pep Torque,8,g,58,1.41.10,,19.7,,Kirsty Lawrence,Waipukurau,18.4,0,600,Charlotte O'Beirne,56,2,82,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",261934,Nadeem (Aus) 2003,198289,Cosmic Flight (Nz) 1997
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,321932,1,6,Sacred Elixir,8,g,62,1.41.34,,21.2,,Kevin Myers,Wanganui,13.7,0,600,Faye Lazet,59,3,90,0,0,"Approved Plates, Lugging Bit, Blinkers, Bandages",300680,Pour Moi (Ire) 2008,257204,Baltika (Nz) 2007
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,332655,2,5,Time To Celebrate,8,g,58.5,1.38.02,,, 1/2 NECK,Jenna Mahoney,Byerley Park,8.2,2.7,23000,Lemmy Douglas,54.5,4,83,0,0,"Approved Plates, Lugging Bit, Blinkers",280637,Per Incanto (Usa) 2004,217383,Silver Cent (Nz) 2000
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,333283,5,9,Father Lenihan,7,g,55,1.38.58,,3.4, 1/2 NECK,Lisa Latta,Awapuni,16.1,0,2000,Robert Hannam,55,0,76,0,0,"Approved Plates, Lugging Bit",172521,O'Reilly (Nz) 1993,253537,Platinum Princess (Nz) 2006
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,338342,11,1,Maduro (Aus),7,g,54,1.38.77,,4.6,,Matt Dixon,Foxton,35.1,0,600,Ashvin Mudhoo,52,2,65,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Non Starter Last Start (1st time)",243720,Bel Esprit (Aus) 1999,338343,Venezuela (Aus) 2006
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,353749,9,3,Chase,5,g,54,1.38.88,,5.4,,Stephen Nickalls,Rangiotu,4.8,0,600,Sarah Macnab,54,0,70,0,0,"Approved Plates, Standard Bit, Nasal Strip",226925,Zed (Nz) 2002,198643,Dantessa (Nz) 1997
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,357856,7,8,Aquila Star,5,m,54,1.38.62,,3.6,,Jaimee-Lee Lupton,Waverley,10.4,0,1000,Kate Hercock,54,0,76,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",230462,Darci Brahma (Nz) 2002,243959,Star Of Flight (Aus) 1999
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,368940,6,7,Alhambra Lad,4,g,54.5,1.38.06,,0.2, SHORT NECK,Allan Sharrock,New Plymouth,3.3,1.1,7400,Lynsey Satherley,54.5,0,75,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",337555,Proisir (Aus) 2009,228315,Miss Relentless (Nz) 2002
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213928,8,,Flat,1600,Opn Hcp,40000,16:39:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,376149,8,2,Victorem,4,m,54,1.38.11,,0.4, 3 LEN,Johno Benner & Hollie Wynyard,Otaki,4,1.6,3600,Darryl Bradley,54,0,76,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",344019,Shooting To Win (Aus) 2011,338470,Gymnast (Aus) 2011
50519,22/01/2022 0:00,Trentham,Feature,Wellington Rc,Dead,4,Fine,TRUE,213929,5,,Flat,1400,Opn Hcp,40000,14:48:00,N,,Unrestricted,Open,Unrestricted,hcp,Dead,4,Fine,305918,1,7,Shadows Cast,9,g,60,1.25.16,,6.4,,Mark Oulaghan,Awapuni,15.9,0,600,Mereana Hudson,60,0,89,0,0,"Approved Plates, Lugging Bit, Blinkers, Bandages",280637,Per Incanto (Usa) 2004,225019,Ages Past (Nz) 2001
