RaceNo.,Distance,Stake,Date,Race Class,Course,Course Direction,HNO,LPSNS,HORSE,SEX,AGE,BARRIER,JCKWGHT,JOCKEY,ALLOWANCE,JCKYRTNG,TRAINER,Location,STARTS,WINS,SECONDS,THIRDS,FRTHS,Earnings,Avgerage earnings,Win %,Plc %,Days since last start,LftR,LftW,LftP,RgtR,RgtW,RgtP,FastR,FastW,FastP,EsyR,EsyW,EsyP,SftR,SftW,SftP,HvyR,HvyW,HvyP,CrseR,CrseW,CrseP,DedR,DedW,DedP,DstR,DstW,DstP,F90R,F90W,F90P,F30R,F30W,F30P,2UpR,2UpW,2UpP,FavR,FavW,FavP,L12R,L12W,L12S,L12T,L12W%,L12P%,L12est,LTk6,LTk5,LTk4,LTk3,LTk2,LTk1,LDate6,LDate5,LDate4,LDate3,LDate2,LDate1,L126,L125,L124,L123,L122,L121,LPos6,LPos5,LPos4,LPos3,LPos2,LPos1,LFSize6,LFSize5,LFSize4,LFSize3,LFSize2,LFSize1,LTkCond6,LTkCond5,LTkCond4,LTkCond3,LTkCond2,LTkCond1,LClass6,LClass5,LClass4,LClass3,LClass2,LClass1,LPrz6,LPrz5,LPrz4,LPrz3,LPrz2,LPrz1,LTkLn6,LTkLn5,LTkLn4,LTkLn3,LTkLn2,LTkLn1,LJcky6,LJcky5,LJcky4,LJcky3,LJcky2,LJcky1,LWgt6,LWgt5,LWgt4,LWgt3,LWgt2,LWgt1,LBarr6,LBarr5,LBarr4,LBarr3,LBarr2,LBarr1,LWFav6,LWFav5,LWFav4,LWFav3,LWFav2,LWFav1,LPFav6,LPFav5,LPFav4,LPFav3,LPFav2,LPFav1,LWDiv6,LWDiv5,LWDiv4,LWDiv3,LWDiv2,LWDiv1,LTkDir6,LTkDir5,LTkDir4,LTkDir3,LTkDir2,LTkDir1,LWnnr6,LWnnr5,LWnnr4,LWnnr3,LWnnr2,LWnnr1,LTime6,LTime5,LTime4,LTime3,LTime2,LTime1,LLag6,LLag5,LLag4,LLag3,LLag2,LLag1,TCONDS,TFS,FAV, WDIv , PDiv ,Finish
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,1,23671,Colonel Carrera,g,4,6,60,Opie Bosson,,83,G & D Rogerson,Hamilton,22,3,3,1,4,"$73,650.00","$3,347",14%,32%,12,12,2,4,8,1,0,0,0,0,12,2,3,3,0,1,2,1,0,6,1,0,5,0,0,1,0,0,4,0,0,2,1,1,3,0,2,0,0,0,12,2,2,1,17%,42%,"$60,925",ROTO,BB TE R,RICC,RICC,ELLS,TE R,18-Oct-14,27-Oct-14,8-Nov-14,15-Nov-14,10-Dec-14,20-Dec-14,1,2,0,0,0,0,4,2,3,6,7,1,12,13,10,16,14,9,G3,G3,G3,G3,G3,G3,Rating 85 Benchmark,Rating 75 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 75 Benchmark,OPN HCP,"$20,000","$18,000","$30,000","$40,000","$20,000","$25,000",1400,1600,2000,1800,1600,2100,R Hutchings,L Magorrian,R Hutchings,R Hutchings,R Hutchings,D Johnson,56,60.5,55.5,55.5,60,54,2,10,2,14,10,1,6,8,2,5,6,3,6,8,2,5,5,3,$12.90,$14.90,$3.80,$7.80,$12.90,$7.00,1,1,1,1,1,2,Silverdale,Show The World,Wolfwhistle,Locket,Lucky Feather,King Krovanh (AUS),83.08,95.2,124.16,112.32,96.05,129.2,1.7,3,2.3,2.5,4.1,1.5,1,16,6,$17.50,$5.00,9
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,2,12372,Mato Grosso,e,5,18,57.5,Kelly Myers,,78,Louise Saunders,Pukekohe,29,3,6,3,3,"$52,960.00","$1,826",10%,41%,12,13,1,6,16,2,3,0,0,0,18,2,5,1,0,0,0,0,0,9,0,1,10,1,4,0,0,0,4,1,0,1,0,0,4,1,1,0,0,0,14,1,5,2,7%,57%,"$31,625",TAUR,AVON,AWAP,WGUI,TE R,AWAP,1-Nov-14,5-Nov-14,11-Nov-14,29-Nov-14,13-Dec-14,20-Dec-14,2,0,0,0,0,0,2,1,2,3,7,2,10,10,10,9,9,10,D4,D5,D4,D5,G3,G3,Rating 75 Benchmark,Rating 75 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,"$10,000","$8,000","$20,000","$20,000","$30,000","$30,000",1600,1600,1600,1600,1600,2000,C Lammas,C Lammas,C Lammas,R Hannam,O Bosson,K Myers,56.5,56.5,55,55.5,57,57,5,5,4,5,6,8,7,3,,3,4,6,8,4,,3,4,6,$15.80,$6.90,,$6.00,$7.50,$13.10,1,2,1,1,1,1,The Fire Inside,Show No Emotion,Weregoingtogetcha (AUS),Brave Kat,Pondarosa Miss,Maygrove (AUS),95.68,99.24,97.95,96.92,94.65,123.51,4.1,0.5,1.3,1.1,4.7,0.4,1,16,15,$52.40,$11.30,5
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,3,4X023,Rock Diva,m,4,9,56,Leith Innes,,79,Tony Pike,Cambridge,11,2,2,3,2,"$125,504.20","$11,409",18%,64%,6,3,0,3,5,2,2,0,0,0,8,0,5,0,0,0,0,0,0,2,1,1,3,2,0,0,0,0,2,0,1,1,0,0,2,0,2,2,0,2,11,2,2,3,18%,64%,"$125,504",BB DOOM,BB E FM,BB E FM,AVON,TE R,ELLS,17-May-14,31-May-14,7-Jun-14,22-Nov-14,13-Dec-14,26-Dec-14,0,0,0,1,2,0,6,4,4,14,2,3,16,18,18,18,9,15,D,G,G,G3,G3,G3,Gp2 GOLD THE ROSES,Gp1 QLD OAKS,Gp1 QLD DERBY,Rating 75 Benchmark,Rating 85 Benchmark,Rating 85 Benchmark,,,,"$30,000","$30,000","$40,000",2000,2400,2400,1600,1600,2100,G Innes,T Angland,Z Purton,L Innes,L Innes,L Innes,56.5,56.5,55,59,55.5,54,13,18,12,9,3,6,,,,3,3,1,$,$,$,3,3,1,,,,$7.20,$4.80,$2.70,1,1,1,1,1,1,Arabian Gold,Tinto,Sonntag,Sultry Assassin,Pondarosa Miss,Farm Boy,123.08,149.46,148.3,95.8,94.65,131.39,4.8,3,1.2,8.1,2.8,1.1,1,16,1,$3.10,$1.60,4
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,4,X9012,Dubai Shuffle,g,5,15,55.5,Noel Harris,,75,Graham Richardson,Matamata,20,3,4,2,0,"$60,575.00","$3,028",15%,45%,12,8,0,3,12,3,3,0,0,0,12,2,4,1,0,0,1,0,0,7,2,1,6,1,2,3,2,0,3,0,1,3,2,0,3,0,0,7,2,2,7,2,2,0,29%,57%,"$41,825",ELLS,TREN,TE R,TE R,TE A,BB TE R,1-Mar-14,15-Mar-14,3-Oct-14,27-Oct-14,26-Nov-14,20-Dec-14,0,0,1,2,0,0,1,5,9,11,1,2,12,13,16,13,8,12,G3,G3,D5,G3,D4,G3,Rating 75 Benchmark,Gp4 3&4YO Set Weight,Rating 75 Benchmark,Rating 75 Benchmark,B.On Rating 75 Benchmark,Rating 75 Benchmark,"$40,000","$50,000","$18,000","$18,000","$8,000","$18,000",2100,2500,1600,1600,2200,2100,N Harris,N Harris,C Grylls,N Harris,N Harris,D Johnson,55.5,59.5,57.5,57,56,59,1,10,11,7,2,6,2,1,9,9,1,4,2,3,9,11,1,4,$5.10,$4.70,$18.60,$17.80,$2.80,$8.00,2,1,1,1,2,1,Kendoka,Sir Gus,Farm Boy,Show The World,Letmeby,Silk Chardonnay,130.14,156.35,98.08,95.2,136.35,128.21,0.8,3.1,4.7,9.3,1.8,0.1,1,16,3,$7.50,$2.50,7
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,5,44134,Austin Road,m,7,12,54,Johnathon Parkes,,75,Olivia Duffy,Hawera,29,4,5,1,5,"$47,360.00","$1,633",14%,34%,12,27,4,5,2,0,1,0,0,0,9,1,4,2,0,0,5,1,1,2,0,1,13,2,1,2,0,1,6,1,1,2,0,1,5,1,1,3,1,1,15,1,2,1,7%,27%,"$24,435",TREN,AWAP,AWAP,AWAP,ELLS,AWAP,25-Oct-14,1-Nov-14,11-Nov-14,22-Nov-14,6-Dec-14,20-Dec-14,0,0,0,0,0,0,6,4,4,1,3,4,13,15,11,11,11,10,D4,D4,D4,D4,G3,G3,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 85 Benchmark,"$25,000","$18,000","$18,000","$18,000","$20,000","$30,000",1600,1400,2200,2100,2200,2000,D Turner,N Teeluck,J Parkes,J Parkes,R Hutchings,J Parkes,55->,55.5,54.5,55.5,57,54.5,2,3,6,1,10,10,9,6,5,5,6,4,8,8,5,4,6,4,$22.20,$15.00,$14.60,$8.90,$12.60,$8.70,1,1,1,2,1,1,Cosmic Cube,Tie Me Down,Show The World,Mr Cool Boy,Duquesa,Maygrove (AUS),96.7,83.49,137.75,132.19,138.13,123.51,5.2,1,3.2,0.3,2.6,4.5,1,16,12,$34.10,$8.40,16
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,6,X1211,Cursive,m,4,14,54,Danielle Johnson,,74,Stephen Marsh,Cambridge,12,4,3,1,1,"$41,700.00","$3,475",33%,67%,33,6,0,4,6,4,0,0,0,0,3,1,0,4,1,2,1,0,1,1,1,0,4,2,1,1,1,0,2,1,0,2,0,1,2,0,2,0,0,0,6,3,1,0,50%,67%,"$27,500",TE A,HAST,TE A,OTAK,BB AVON,ELLS,14-Feb-14,1-Mar-14,26-Sep-14,18-Oct-14,5-Nov-14,29-Nov-14,0,0,1,2,0,0,10,8,1,2,1,1,12,8,8,16,11,12,D4,G3,S9,D4,D5,D4,Rating 65 Benchmark*,Gp3 3YOF SW,B.Off Rating 65 Benchmark*,Rating 65 Benchmark Fillies and Mares*,Rating 65 Benchmark*,Rating 75 Benchmark,"$7,000","$70,000","$7,000","$25,000","$7,000","$25,000",1600,2100,1400,1600,2100,2100,D Johnson,D Bradley,D Johnson,J Riddell,D Johnson,D Johnson,56.5,56.5,54.5,58.5,58,57,9,1,4,4,2,6,4,6,3,3,2,4,2,6,3,5,2,5,$6.90,$18.60,$4.80,$6.50,$4.00,$7.00,1,1,2,1,2,2,Sarah Pour,Miss Selby,Zahconi,Dramatist,Zeldara,The Fire Inside,97.11,130.29,86.23,95,133.42,132.33,5,18.2,0.6,2.8,0.1,0.3,1,16,4,$7.70,$2.40,2
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,7,X2214,Rasa Lila,m,4,16,54,James McDonald,,71,Ramsay/Ritchie,Maungatautari,11,2,4,2,1,"$46,302.38","$4,209",18%,73%,12,3,0,2,1,1,0,0,0,0,5,0,3,0,0,0,0,0,0,1,1,0,6,2,3,0,0,0,2,0,2,0,0,0,2,0,2,2,0,1,10,2,3,2,20%,70%,"$42,541",MORP,MORP,OTAK,BB TE R,BB ELLS,TE R,12-Apr-14,26-Apr-14,18-Oct-14,8-Nov-14,29-Nov-14,20-Dec-14,0,0,1,2,0,0,7,10,2,2,1,4,15,16,16,16,15,12,G,D,D4,G3,D4,G3,Gp3 AURARIA,B.OnGp1 SCHWEPPES OAKS,B.Off Rating 65 Benchmark Fillies and Mares*,Rating 65 Benchmark*,B.On Rating 65 Benchmark*,Rating 75 Benchmark,,,"$25,000","$17,000","$20,000","$18,000",1800,2000,1600,1600,2100,2100,D Yendall,D Dunn,M Dee,V Colgan,V Colgan,V Colgan,54,56,58.5,57,57.5,56,4,1,6,8,12,3,,,4,1,2,1,$,$,2,1,2,1,,,$6.90,$4.40,$5.40,$2.90,1,1,1,1,2,1,Girl in Flight,May's Dream,Dramatist,Tiara,Zeldara,Silk Chardonnay,110.71,124.85,95,94.76,131.67,128.21,4.3,3.4,2.8,1,1,1,1,16,2,$7.20,$2.80,3
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,8,37448,Ekraarstatic,m,4,3,54,Mark Du Plessis,,69,Stephen Autridge,Matamata,17,2,1,1,5,"$28,375.00","$1,669",12%,24%,12,9,1,1,8,1,1,0,0,0,8,1,0,1,0,1,1,0,0,4,1,0,7,1,1,2,1,0,2,0,0,1,0,0,2,0,1,0,0,0,13,2,1,1,15%,31%,"$27,125",HAST,TAUR,TE R,ELLS,ELLS,TE R,4-Oct-14,17-Oct-14,8-Nov-14,29-Nov-14,6-Dec-14,20-Dec-14,1,2,0,0,0,0,16,3,7,4,4,8,16,8,12,12,11,12,G3,D4,G3,D4,G3,G3,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,Rating 75 Benchmark,"$40,000","$8,000","$18,000","$25,000","$20,000","$18,000",1400,1600,2100,2100,2200,2100,D Johnson,D Johnson,C Lammas,V Colgan,L Innes,L Innes,55.5,56,56.5,57.5,55,55.5,12,6,9,1,11,8,15,5,7,9,3,5,14,5,7,9,3,5,$34.10,$9.50,$13.70,$24.00,$6.50,$11.40,1,1,1,1,1,1,Mighty Solomon,Riot Act,Duquesa,Cursive,Duquesa,Silk Chardonnay,81.36,96.24,128.87,132.33,138.13,128.21,18.7,0.6,5.2,2.9,2.9,8.4,1,16,11,$30.20,$7.90,6
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,9,63123,Proud Life,m,5,5,54,Samantha Collett,,69,Richard Collett,Pukekohe,15,2,1,5,1,"$22,900.00","$1,526",13%,53%,12,4,2,1,11,0,5,0,0,0,6,1,4,0,0,0,1,0,0,5,0,3,8,1,2,2,0,1,2,0,0,3,0,2,2,0,1,2,2,0,8,1,1,4,12%,75%,"$15,675",TREN,RUAK,AVON,DARG,ELLS,TE R,15-Mar-14,1-Oct-14,5-Nov-14,14-Nov-14,6-Dec-14,20-Dec-14,0,1,2,0,0,0,13,6,3,1,2,3,13,9,10,11,11,12,G3,D4,D5,D5,G3,G3,Gp4 3&4YO Set Weight,Rating 65 Benchmark*,Rating 75 Benchmark,Rating 65 Benchmark*,Rating 75 Benchmark,Rating 75 Benchmark,"$50,000","$7,000","$8,000","$7,000","$20,000","$18,000",2500,1600,1600,2000,2200,2100,R Hutchings,u Plessis,u Plessis,S Collett,S Collett,A Collett,57.5,55,54,55.5,54,54.5,6,8,2,9,9,7,8,8,7,1,8,6,8,8,8,1,8,6,$20.40,$17.70,$17.20,$4.30,$15.10,$13.60,1,1,1,2,1,1,Sir Gus,Just Call Me Ray,Mato Grosso,Makers Mark,Duquesa,Silk Chardonnay,156.35,97.53,99.24,126.31,138.13,128.21,28.1,2.7,1.3,0.1,2.5,0.9,1,16,9,$24.50,$5.30,10
4,2200,"$75,000",1-Jan-15,OPN RATING 85 54.00,Ellerslie,2,10,0X191,Undiscovered,g,5,7,54,Craig Grylls,,67,Terry Wenn,Cambridge,7,3,0,0,0,"$28,535.00","$4,076",43%,43%,18,2,0,0,5,3,0,0,0,0,1,0,0,2,1,0,0,0,0,3,1,0,4,2,0,0,0,0,2,1,0,1,0,0,2,1,0,0,0,0,6,3,0,0,50%,50%,"$28,535",TAUR,ELLS,TE R,TAUR,ELLS,ELLS,10-Jan-14,1-Mar-14,15-Mar-14,15-Nov-14,29-Nov-14,14-Dec-14,2,0,0,1,2,0,1,7,10,1,9,1,9,9,13,10,14,9,D6,G3,S7,D6,D4,S7,MDN,SP COND,Rating 65 Benchmark*,Rating 65 Benchmark*,Rating 65 Benchmark*,Rating 65 Benchmark*,"$8,000","$40,000","$15,000","$17,000","$20,000","$20,000",1600,1400,1600,1300,1600,1600,R Hutchings,C Grylls,R Jones,B Hutton,C Grylls,C Grylls,58.5,58,57.5,58.5,58.5,58,1,2,5,7,3,4,6,,10,10,11,8,6,,12,10,10,8,$11.60,$37.20,$21.40,$28.80,$27.50,$16.80,2,1,1,2,1,2,Mystic Man,Knight Wager (AUS),Sheez All Heart,Sheez Torkin,Emily Monk,Whatz Occurring,98.85,84.76,98.12,78.01,96.69,100.69,0.3,4.1,23,0.1,6.4,0.1,1,16,14,$41.10,$10.90,13
